Length,CountSerial,CountSIMD,TimeSerial_ns,TimeSIMD_ns
99,2,2,290,50
102,1,1,80,40
93,0,0,80,30
31,0,0,40,50
109,1,1,70,40
51,2,2,40,30
102,2,2,70,30
108,2,2,70,40
65,0,0,60,30
37,1,1,40,30
78,1,1,60,30
43,0,0,40,30
106,1,1,80,30
75,3,3,60,30
79,2,2,70,30
42,1,1,50,30
56,1,1,50,30
42,0,0,40,30
88,3,3,70,30
52,0,0,50,30
27,0,0,30,30
84,1,1,60,30
83,0,0,60,30
45,1,1,40,30
98,3,3,70,20
46,0,0,40,30
78,1,1,70,50
39,1,1,50,30
83,0,0,60,20
51,0,0,40,30
45,0,0,50,20
18,1,1,30,30
38,0,0,30,20
74,0,0,60,30
85,3,3,70,30
83,1,1,50,20
109,4,4,70,40
72,2,2,60,40
27,0,0,30,40
58,2,2,50,40
45,0,0,40,30
89,1,1,60,30
37,1,1,30,30
35,0,0,40,30
100,0,0,80,30
53,0,0,60,30
114,1,1,80,30
40,0,0,40,40
31,1,1,40,40
86,2,2,70,30
